state,canonical_school,canonical_key,alias_variants,n_alias_variants,dat_tf_men_team_ids,dat_tf_women_team_ids,dat_xc_men_team_ids,dat_xc_women_team_ids,n_dat_team_records,all_dat_team_ids,duplicate_team_records,sports_present,dat_leagues,source_league_urls,athletic_net_team_id,athletic_net_team_id_source,source,observed_on,verification
OH,Kirtland,kirtland,Kirtland (x4),1,42430,42431,25769,25770,4,track:men:42430;track:women:42431;xc:men:25769;xc:women:25770,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lafayette Allen East,lafayette allen east,Lafayette Allen East (x4),1,42432,42433,25771,25772,4,track:men:42432;track:women:42433;xc:men:25771;xc:women:25772,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,LaGrange Keystone,lagrange keystone,LaGrange Keystone (x4),1,27971,27972,25773,25774,4,track:men:27971;track:women:27972;xc:men:25773;xc:women:25774,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lake Catholic,lake catholic,Lake Catholic (x4),1,28183,28184,25928,25929,4,track:men:28183;track:women:28184;xc:men:25928;xc:women:25929,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lake. St. Augustine Acad.,lake st augustine acad,Lake. St. Augustine Acad. (x4),1,42434,42435,25775,25776,4,track:men:42434;track:women:42435;xc:men:25775;xc:women:25776,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lakeside Danbury,lakeside danbury,Lakeside Danbury (x4),1,20555,20556,25777,25778,4,track:men:20555;track:women:20556;xc:men:25777;xc:women:25778,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lakewood,lakewood,Lakewood (x4),1,6779,33728,5406,5407,4,track:men:6779;track:women:33728;xc:men:5406;xc:women:5407,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lakewood St. Edward,lakewood st edward,Lakewood St. Edward (x4),1,6389,42436,5242,25779,4,track:men:6389;track:women:42436;xc:men:5242;xc:women:25779,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lakota Plains JHS,lakota plains jhs,Lakota Plains JHS (x2),1,16254,16255,,,2,track:men:16254;track:women:16255,no,track,Ohio,https://www.directathletics.com/leagues/track/43.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lakota Ridge JHS,lakota ridge jhs,Lakota Ridge JHS (x2),1,16260,16261,,,2,track:men:16260;track:women:16261,no,track,Ohio,https://www.directathletics.com/leagues/track/43.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lancaster,lancaster,Lancaster (x4),1,16421,12082,25780,25781,4,track:men:16421;track:women:12082;xc:men:25780;xc:women:25781,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lancaster Fairfield Union,lancaster fairfield union,Lancaster Fairfield Union (x4),1,12254,12255,25782,25783,4,track:men:12254;track:women:12255;xc:men:25782;xc:women:25783,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Lancaster Fisher Cath.,lancaster fisher cath,Lancaster Fisher Cath. (x4),1,13874,13875,25784,25785,4,track:men:13874;track:women:13875;xc:men:25784;xc:women:25785,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Latham Western,latham western,Latham Western (x4),1,42437,42438,25786,25787,4,track:men:42437;track:women:42438;xc:men:25786;xc:women:25787,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Leavittsburg LaBrae,leavittsburg labrae,Leavittsburg LaBrae (x4),1,12059,12060,25788,25789,4,track:men:12059;track:women:12060;xc:men:25788;xc:women:25789,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
