state,dat_league_name,dat_league_sport,dat_league_id,dat_team_id,dat_team_sport,team_gender,dat_team_name_raw,level_guess,dat_league_url,source,observed_on,verification
WI,Wisconsin,track,115,24310,track,men,Burlington,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24311,track,women,Burlington,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24658,track,men,Cadott,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24659,track,women,Cadott,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24589,track,men,Cambridge,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24590,track,women,Cambridge,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24660,track,men,Cameron,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24661,track,women,Cameron,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24623,track,men,Campbellsport,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24624,track,women,Campbellsport,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24803,track,men,Cashton,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24804,track,women,Cashton,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24821,track,men,Cassville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24822,track,women,Cassville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,89823,track,men,Cassville-Potosi,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,89824,track,women,Cassville-Potosi,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24873,track,men,Catholic Central,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24874,track,women,Catholic Central,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24609,track,men,Catholic Memorial,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
