fragment,state,sport,role,school,coach_name,ad_name,source_url,verify
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Assistant Coach,CUBA CITY,Isabelle Matthews,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Assistant Coach,CUBA CITY,Evan Matthews,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUBA CITY,Guy Kopp,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,CUBA CITY,Kim Matthews,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUBA CITY,Tyre Hall,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUBA CITY,Carter Jorgensen,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUBA CITY,Isabelle Matthews,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUBA CITY,Keifer Landes,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUBA CITY,Josh Kreger,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Assistant Coach,CUDAHY,Katherine Scott,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,CUDAHY,Justin Darrow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,CUDAHY,Zachary Kiedrowski,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUDAHY,Carley Tuska,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Head Coach,CUDAHY,Justin Darrow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Assistant Coach,CUDAHY,Katherine Scott,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,CUDAHY,Justin Darrow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,CUDAHY,Zachary Kiedrowski,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUDAHY,Carley Tuska,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUDAHY,Jenna Helmrick,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,CUDAHY,Justin Darrow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=91&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,CUMBERLAND,William Rosenow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUMBERLAND,Bob Chubb,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Head Coach,CUMBERLAND,Ryan O&#39;Connell,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUMBERLAND,Terri Lesnar,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUMBERLAND,Beth McClain,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUMBERLAND,William Rosenow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUMBERLAND,Derek Fennern,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CUMBERLAND,Marshall Straw,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,CUMBERLAND,William Rosenow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUMBERLAND,Terri Lesnar,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,CUMBERLAND,Ryan O&#39;Connell,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUMBERLAND,Bob Chubb,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUMBERLAND,Beth McClain,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUMBERLAND,William Rosenow,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUMBERLAND,Derek Fennern,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CUMBERLAND,Marshall Straw,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=92&AllCoaches=True,ok
